Customer_ID,Occupation,Annual_Income,Monthly_Inhand_Salary,Credit_Mix,Payment_of_Min_Amount,Payment_Behaviour,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Age,Credit_History_Age,Auto Loan,Credit-Builder Loan,Debt Consolidation Loan,Home Equity Loan,Mortgage Loan,None,Not Specified,Payday Loan,Personal Loan,Student Loan,Age_group
CUS_0x1000,Lawyer,30625.94,2706.16166666666,Bad,Yes,High_spent_Small_value_payments,6.0,5.0,27.0,2.0,62.75,25.0,2.38,11.0,1562.91,29.7754275629034,42.9410904224693,164.67790514066274,337.9971711035338,18.0,11,0,1,0,1,0,0,0,0,0,0,10s
CUS_0x1018,Accountant,61194.81,5014.5675,Bad,Yes,High_spent_Medium_value_payments,7.0,7.0,23.0,8.0,24.75,21.5,28.63,9.0,2773.09,27.2765998483334,225.368691376447,303.980478074414,242.10758054913748,16.0,14,0,1,0,1,0,0,1,1,1,1,10s
CUS_0x1041,Teacher,8978.11,894.175833333333,Bad,Yes,Low_spent_Small_value_payments,8.0,8.0,30.0,9.0,50.0,17.0,18.23,10.0,4913.15,32.044791962405526,57.6796579068197,64.70079137967193,244.5371340468413,15.0,10,0,0,0,1,1,0,1,1,0,1,10s
CUS_0x1056,Entrepreneur,16053.86,1051.73800259116,Bad,Yes,Low_spent_Small_value_payments,8.0,6.0,24.0,5.0,25.25,14.75,0.83,12.0,2107.76,31.918801559601697,153.67303859999248,118.50999104365437,246.3118850796457,45.0,16,0,0,1,0,0,0,1,0,1,1,40s
CUS_0x107c,Journalist,49718.55,4179.2125,Bad,Yes,High_spent_Large_value_payments,7.0,10.0,27.0,6.0,25.33333333333333,16.0,5.5,8.0,1920.25,32.499060758078706,231.95678064503,182.1656254364925,267.1321772518093,15.0,14,1,0,0,1,1,0,0,1,0,0,10s
CUS_0x108a,Journalist,36982.36,2554.81382327358,Bad,Yes,Low_spent_Large_value_payments,7.0,9.0,21.0,9.0,16.25,15.0,26.36,15.0,4882.12,31.581117073771125,454.419552114283,129.544991976518,220.97129930227877,39.0,8,0,1,1,1,0,0,0,1,1,1,30s
CUS_0x109d,Writer,49140.87,4377.0725,Bad,Yes,High_spent_Large_value_payments,10.0,6.0,27.0,6.0,35.0,18.0,16.41,11.5,2950.8,35.48620770526695,154.172426325172,88.20090493237745,445.33391874244927,45.0,6,0,0,0,0,1,0,1,1,0,0,40s
CUS_0x10d7,Developer,15968.14,1380.67833333333,Bad,Yes,High_spent_Small_value_payments,7.0,7.0,21.0,9.0,37.0,18.0,18.593333333333334,14.0,4912.8,33.97258871370857,77.9971182164605,3395.4381876408643,227.81921229562963,40.0,12,1,1,0,0,1,0,0,0,1,1,30s
CUS_0x10e2,Media_Manager,43133.85,3432.4875,Bad,Yes,High_spent_Medium_value_payments,10.0,10.0,31.0,7.0,43.0,24.666666666666668,4.743333333333333,11.0,2504.1,32.4682936998995,151.287254975492,223.13247129044123,238.82902373406532,38.0,11,1,1,0,1,0,0,1,0,1,0,30s
CUS_0x1107,Writer,28952.76,2338.73,Bad,Yes,Low_spent_Small_value_payments,7.0,9.0,21.0,8.0,42.333333333333336,26.0,2.46,16.0,2717.85,30.821124751530565,155.779989011441,163.4146173952693,194.67839359328835,31.0,1,0,1,1,0,0,0,1,0,1,0,30s
CUS_0x111c,Journalist,71809.76,6168.14666666666,Bad,Yes,High_spent_Large_value_payments,7.0,7.0,17.0,8.0,52.0,14.333333333333334,1.58,7.0,4439.92,32.110336877171534,297.917684030006,217.1593961720056,355.0709197979877,24.0,7,1,0,1,1,1,0,1,1,1,0,20s
CUS_0x1123,Writer,15264.98,1266.08166666666,Bad,Yes,Low_spent_Small_value_payments,6.0,5.0,34.0,3.0,26.33333333333333,14.333333333333334,11.346666666666666,14.0,2375.88,35.1138585711954,36.7900967112045,73.16148739264014,303.32324922948834,15.0,9,1,1,0,1,0,0,0,0,0,0,10s
CUS_0x113e,Manager,34476.68,2715.05666666666,Bad,Yes,Low_spent_Small_value_payments,6.0,7.0,24.0,8.0,36.0,17.0,4.48,16.0,1976.63,27.1223899927182,171.175758906454,10000.0,240.335946253901,45.0,11,1,0,1,0,1,0,1,0,1,1,40s
CUS_0x1140,Accountant,7621.8,914.15,Bad,Yes,Low_spent_Medium_value_payments,6.0,10.0,28.0,6.0,18.0,19.0,27.01,14.0,4128.98,30.77679143548733,24.9062633623497,5013.847710682148,285.1744055581956,31.0,7,1,1,1,0,1,0,0,1,1,0,30s
CUS_0x1145,Teacher,17975.32,1444.94333333333,Bad,Yes,Low_spent_Medium_value_payments,6.0,5.0,32.0,9.0,61.0,25.666666666666668,7.566666666666667,13.0,1263.1,29.707083388674164,76.450324587172,114.15523804282206,237.222104036672,24.0,12,0,1,0,1,1,0,1,1,0,1,20s
CUS_0x1151,Journalist,17692.27,1335.35583333333,Bad,Yes,Low_spent_Small_value_payments,6.0,5.0,29.0,6.0,35.666666666666664,24.33333333333333,28.12,9.0,3762.64,29.3270794607219,78.4472348823678,114.02786703426462,227.72714808336664,41.0,11,1,0,0,1,0,0,0,1,1,0,40s
CUS_0x1154,Developer,7645.095,632.09125,Bad,Yes,High_spent_Medium_value_payments,9.0,9.0,19.0,5.0,45.0,14.5,21.14,14.0,2869.83,30.700807403621557,17.4878510544758,16.0765829549385,295.648459561092,41.0,12,0,1,0,0,0,0,0,1,0,0,40s
CUS_0x115c,Engineer,41695.76,3401.64666666666,Bad,Yes,High_spent_Medium_value_payments,6.0,7.0,15.0,9.0,26.5,21.0,25.99,11.0,4453.51,34.0108397271764,302.805725705767,208.709174244504,88.64976671639515,20.0,8,0,1,1,0,1,0,1,0,0,1,10s
CUS_0x11ae,Architect,14550.52,1392.54333333333,Bad,Yes,Low_spent_Small_value_payments,7.0,10.0,25.0,9.0,38.5,20.25,22.08,7.5,4444.99,33.05186541208775,95.9110304456778,2581.306475770853,218.15969749160976,22.0,11,1,0,0,1,0,0,1,0,1,0,20s
CUS_0x1207,Developer,19506.73,1491.56083333333,Bad,Yes,Low_spent_Large_value_payments,9.0,7.0,22.0,6.0,47.66666666666666,15.666666666666666,4.023333333333333,15.0,1594.83,35.02581900176903,59.13404168572189,3409.5334725181588,274.50966839785366,34.0,15,1,0,1,0,1,0,0,0,1,1,30s
CUS_0x120c,Scientist,29135.38,2138.94833333333,Bad,Yes,High_spent_Small_value_payments,10.0,7.0,21.0,9.0,15.25,24.75,6.2899999999999965,11.0,1833.81,32.586524093393976,201.00228112157,2625.5950719846,137.61651000754927,16.0,9,0,1,0,1,1,0,1,1,1,0,10s
CUS_0x122f,Media_Manager,18231.52,1448.29333333333,Bad,Yes,High_spent_Large_value_payments,6.0,5.0,15.0,9.0,33.0,17.0,1.83,8.0,1358.96,31.265784583104697,86.6086470092311,83.78894983357314,239.431736490528,24.0,15,1,0,1,0,0,0,1,1,0,1,20s
CUS_0x1232,Developer,14937.49,1142.79083333333,Bad,Yes,High_spent_Medium_value_payments,8.0,8.0,22.0,7.0,41.0,13.0,24.17,9.0,3699.44,27.822151890111662,50.9608782796447,51.54106219893837,285.110476188083,17.0,14,0,0,1,1,1,0,0,0,0,1,10s
CUS_0x123d,Architect,7703.635,651.969583333333,Bad,Yes,Low_spent_Small_value_payments,6.0,8.0,18.0,6.0,55.0,17.0,16.05,15.0,3044.94,28.4345270182164,32.0810983078589,30.5795658172375,292.536294208236,31.0,2,1,0,0,1,0,0,0,0,0,1,30s
CUS_0x1249,Teacher,9529.855,583.727469048006,Bad,Yes,Low_spent_Small_value_payments,9.0,8.0,26.0,3.0,51.0,19.33333333333333,7.2,10.0,1818.36,30.878079759725495,116.438056814099,39.7308380202744,297.0736777842856,33.0,7,1,0,0,0,0,0,1,1,0,0,30s
CUS_0x1250,Developer,72503.56,5974.96333333333,Bad,Yes,High_spent_Small_value_payments,6.0,8.0,31.0,9.0,59.0,14.333333333333334,20.41,15.0,4205.6,30.47902248223807,362.846101458736,226.30800339700235,220.19194761454364,29.0,13,1,1,0,0,1,0,1,0,1,1,20s
CUS_0x127d,Doctor,15096.85,1033.07083333333,Bad,Yes,Low_spent_Small_value_payments,8.0,6.0,20.0,4.0,18.0,19.0,6.76,7.5,1928.03,37.001142626813305,35.3135586689154,5030.434620800706,260.527207047634,43.0,17,0,0,0,1,0,0,0,1,0,0,40s
CUS_0x1288,Doctor,60938.13,5163.1775,Bad,Yes,High_spent_Medium_value_payments,10.0,8.0,31.0,8.0,25.0,17.666666666666668,18.82333333333333,9.0,3947.24,30.95347095115524,378.304673376643,171.958974753951,216.05410186940532,34.0,5,0,1,0,0,1,0,1,1,0,1,30s
CUS_0x128f,Teacher,75816.52,6291.04333333333,Bad,Yes,High_spent_Large_value_payments,6.0,9.0,22.0,5.0,20.0,24.0,27.85,10.0,2555.9,34.29592971057495,158.163779105217,71.0035764080907,639.9369778200245,32.0,6,0,0,0,1,1,0,1,0,0,1,30s
CUS_0x1297,Manager,57738.06,4881.505,Bad,Yes,High_spent_Medium_value_payments,9.0,8.0,30.0,9.0,61.0,24.0,20.27,12.333333333333334,3916.47,32.021188381186136,296.284135703957,133.92741166790702,311.272285961468,46.0,13,0,1,0,1,1,0,0,1,1,1,40s
CUS_0x12a4,Mechanic,78094.28,6755.85666666666,Bad,Yes,High_spent_Large_value_payments,10.0,7.0,15.0,5.0,62.0,19.5,6.92,12.0,1695.41,33.481451934917104,270.63980526897,164.25368523989698,480.692176157798,24.0,19,1,0,0,1,0,0,1,0,1,0,20s
CUS_0x12a6,Manager,18158.33,1325.19416666666,Bad,Yes,Low_spent_Small_value_payments,7.0,9.0,25.0,4.0,27.75,15.25,16.02,12.0,1401.91,30.584952199344023,39.7678625944217,75.9376150170547,294.3139390551895,25.0,18,0,0,1,1,0,0,0,0,1,0,20s
CUS_0x12b6,Writer,67104.12,5829.00999999999,Bad,Yes,High_spent_Medium_value_payments,9.0,9.0,19.0,5.0,28.0,26.5,21.54,8.0,4635.75,30.75242435714555,265.022160234017,189.468370854236,383.4104689117455,18.0,2,1,0,0,0,0,0,1,1,0,1,10s
CUS_0x12b8,Doctor,15906.4,1350.53333333333,Bad,Yes,High_spent_Large_value_payments,9.0,10.0,21.0,8.0,25.0,20.5,27.86,7.5,3167.74,27.4491870079227,91.8933758063416,2529.9611929900734,268.559920320388,29.0,11,0,1,1,1,0,0,1,0,0,1,20s
CUS_0x12ce,Accountant,9795.07,586.255833333333,Bad,Yes,High_spent_Small_value_payments,7.0,8.0,29.0,6.0,62.0,15.666666666666666,2.6766666666666663,15.0,2065.27,32.36370548548127,42.6053171683537,3350.1751946551126,254.30146478673365,42.0,6,1,0,1,0,0,0,0,1,1,0,40s
CUS_0x12d5,Scientist,62320.56,5068.38,Bad,Yes,High_spent_Medium_value_payments,9.0,9.0,18.0,5.0,23.0,15.25,16.989999999999974,15.0,3589.56,28.04268298221615,171.345559724464,215.9409416580349,389.55149861749976,29.0,2,1,0,1,1,0,0,0,0,0,0,20s
CUS_0x12e7,Architect,46874.85,4082.2375,Bad,Yes,High_spent_Medium_value_payments,9.0,5.0,15.0,2.0,50.0,21.33333333333333,8.0,11.666666666666666,1913.66,29.8709751222206,70.5405185352141,121.80974759024156,465.8734838745437,43.0,18,0,0,0,0,0,0,0,1,1,0,40s
CUS_0x12ea,Doctor,38980.76,3172.39666666666,Bad,Yes,High_spent_Medium_value_payments,8.0,8.0,25.0,9.0,28.0,15.75,16.43,12.0,2927.1,34.2857881629743,167.536748998114,92.92061579283818,316.78230187571324,15.0,4,0,0,1,1,1,0,1,1,1,0,10s
CUS_0x12f2,Writer,59237.96,4693.49666666666,Bad,Yes,High_spent_Medium_value_payments,10.0,7.0,18.0,8.0,19.0,22.0,2.3,15.0,1593.75,29.1501465421775,319.163201680144,130.86528902100525,269.321175965516,25.0,13,1,0,0,0,1,0,1,1,0,0,20s
CUS_0x130c,Engineer,9203.725,1048.97708333333,Bad,Yes,High_spent_Large_value_payments,10.0,5.0,18.0,7.0,37.0,20.5,4.3,11.0,2338.29,32.050652394701046,31.4970664508006,27.1361542946115,306.2644875879205,44.0,9,1,0,1,1,1,0,1,0,0,1,40s
CUS_0x131f,Developer,68105.6,5636.46666666666,Bad,Yes,Low_spent_Medium_value_payments,8.0,8.0,19.0,5.0,24.75,23.75,26.05,13.0,2867.7,33.47631617322935,279.082069065713,347.5673218753335,204.49727572561903,46.0,2,0,1,0,0,0,0,1,0,0,0,40s
CUS_0x1324,Mechanic,19858.97,1663.91416666666,Bad,Yes,High_spent_Medium_value_payments,10.0,6.0,24.0,3.0,34.25,22.0,1.33,8.75,1689.38,35.0072122509949,47.7843405030394,29.260871595752825,307.5747608443375,20.0,13,0,0,0,1,1,0,0,0,1,0,10s
CUS_0x1325,Accountant,35823.96,2937.33,Bad,Yes,Low_spent_Small_value_payments,6.0,8.0,22.0,5.0,38.5,16.25,7.35,9.25,3029.92,37.31856488589595,112.435784656026,199.4841582731837,254.3130570707887,28.0,9,1,0,1,0,0,0,1,0,1,0,20s
CUS_0x1326,Mechanic,8658.18,637.515,Bad,Yes,Low_spent_Medium_value_payments,10.0,7.0,22.0,7.0,19.0,21.0,8.68,14.0,2599.69,33.777383135830235,36.6957838453448,3363.425974553651,269.3712630566113,20.0,7,0,0,1,0,1,0,1,1,0,1,10s
CUS_0x1338,Scientist,20078.47,1447.20583333333,Bad,Yes,Low_spent_Small_value_payments,10.0,10.0,31.0,8.0,44.333333333333336,19.666666666666668,23.60333333333333,13.0,4545.35,27.9905812017155,120.334010134903,115.32537260077748,199.061200597652,40.0,14,1,1,1,1,0,0,0,0,1,1,30s
CUS_0x1355,Entrepreneur,9474.16,745.513333333333,Bad,Yes,Low_spent_Small_value_payments,7.0,6.0,30.0,2.0,58.0,15.75,17.57,12.75,2370.05,33.20366649346595,15.003426979321,5023.430709344373,280.9058466450245,30.0,10,0,0,0,1,0,0,1,0,0,0,20s
CUS_0x1358,Teacher,59304.2,4972.01666666666,Bad,Yes,High_spent_Small_value_payments,10.0,10.0,24.0,3.0,61.0,25.0,2.47,16.0,1945.03,31.1804683564792,76.8752818536923,259.7398255973925,435.5865592155805,18.0,13,0,0,1,1,0,0,0,0,0,0,10s
CUS_0x1370,Writer,10216.36,587.015816993938,Bad,Yes,Low_spent_Medium_value_payments,10.0,8.0,22.0,5.0,19.75,23.0,19.55,7.0,3703.66,32.02359182157328,121.229729269835,59.0812241013701,259.9728963015227,32.0,12,0,0,0,0,1,0,0,0,1,1,30s
CUS_0x1375,Lawyer,72524.2,5908.68333333333,Bad,Yes,High_spent_Medium_value_payments,6.0,5.0,17.0,3.0,47.333333333333336,24.33333333333333,8.74,9.0,2699.4,26.2966799645954,153.033456850224,280.15176676397067,421.0164430524707,16.0,15,0,0,1,1,1,0,0,0,0,0,10s
CUS_0x138b,Engineer,34019.26,2956.93833333333,Bad,Yes,Low_spent_Small_value_payments,6.0,5.0,29.0,7.0,56.0,15.75,5.960000000000001,12.0,1747.01,28.12252728633535,174.096365718262,204.84395750124423,163.456558595743,42.0,15,1,1,1,0,1,0,1,0,0,0,40s
CUS_0x138f,Entrepreneur,20483.84,1811.98666666666,Bad,Yes,High_spent_Medium_value_payments,7.0,7.0,32.0,8.0,41.0,21.0,3.4166666666666665,7.666666666666667,2469.37,32.79041421755114,106.130032298137,3356.0020411443184,289.850133070317,30.0,9,1,0,1,1,1,0,0,0,0,1,20s
CUS_0x13c2,Teacher,60682.11,5179.8425,Bad,Yes,High_spent_Large_value_payments,8.0,5.0,23.0,5.0,41.0,20.0,26.12,9.0,4899.87,30.05952349690445,195.451477426653,253.70290629793988,336.3298662754055,40.0,9,0,1,1,1,0,0,0,1,0,0,30s
