Customer_ID,Occupation,Annual_Income,Monthly_Inhand_Salary,Credit_Mix,Payment_of_Min_Amount,Payment_Behaviour,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Age,Credit_History_Age,Auto Loan,Credit-Builder Loan,Debt Consolidation Loan,Home Equity Loan,Mortgage Loan,None,Not Specified,Payday Loan,Personal Loan,Student Loan,Age_group,EMI_to_Income_Ratio,Investment_to_Income_Ratio,Outstanding_Debt_to_Income_Ratio
CUS_0x1000,Lawyer,30625.94,2706.16166666666,Bad,Yes,High_spent_Small_value_payments,6.0,5.0,27.0,2.0,62.75,25.0,2.38,11.0,1562.91,29.7754275629034,42.9410904224693,164.67790514066274,337.9971711035338,18.0,11,0,1,0,1,0,0,0,0,0,0,10s,0.01586789545924002,0.06085294428972763,0.577537557807893
CUS_0x1009,Mechanic,52312.68,4250.39,Standard,Yes,High_spent_Medium_value_payments,6.0,5.0,17.0,4.0,7.0,20.0,9.73,4.0,202.68,34.22554397782618,108.366467125255,173.30198678849237,382.1720873063485,26.0,31,0,1,0,1,0,0,1,1,0,0,20s,0.025495652663697917,0.040773196527493324,0.04768503596140589
CUS_0x100b,Media_Manager,113781.389999999,9549.7825,Good,No,High_spent_Large_value_payments,1.0,4.0,1.0,0.0,12.333333333333334,7.0,9.006666666666666,4.0,1030.2,40.293635647692135,0.0,155.18405798444067,854.3089053682194,19.0,16,0,0,0,0,0,1,0,0,0,0,20s,0.0,0.016250009671365886,0.10787680242979357
CUS_0x1011,Doctor,58918.47,5208.8725,Standard,Yes,High_spent_Medium_value_payments,3.0,3.0,17.0,3.0,28.0,14.666666666666666,14.42,10.333333333333334,473.14,33.51078100814423,123.43493879634302,284.13225089313664,376.6533936438527,44.0,16,0,1,1,0,0,0,0,0,0,1,40s,0.023697055129750826,0.054547745388879576,0.0908334769184694
CUS_0x1013,Mechanic,98620.98,7962.415,Good,No,High_spent_Large_value_payments,3.0,3.0,6.0,3.0,12.0,10.0,1.33,4.5,1233.51,30.7225104731582,228.018083652734,384.577670741782,407.81244119132936,44.0,18,0,0,1,0,0,0,0,0,1,1,40s,0.0286367997212823,0.04829912416544252,0.1549165673982077
CUS_0x1018,Accountant,61194.81,5014.5675,Bad,Yes,High_spent_Medium_value_payments,7.0,7.0,23.0,8.0,24.75,21.5,28.63,9.0,2773.09,27.2765998483334,225.368691376447,303.980478074414,242.10758054913748,16.0,14,0,1,0,1,0,0,1,1,1,1,10s,0.044942797434962635,0.06061948075769526,0.5530068146455303
CUS_0x1026,Manager,170614.28,14463.8566666666,Good,No,High_spent_Medium_value_payments,2.0,6.0,9.0,2.0,0.0,2.0,0.73,3.0,849.69,36.2425502722561,208.907479382015,461.19881136366666,1026.2793759209835,52.0,20,1,0,0,0,0,0,0,1,0,0,50s,0.014443414657410366,0.03188629575032677,0.05874574254861053
CUS_0x102d,Entrepreneur,89064.52,7256.04333333333,Good,No,High_spent_Small_value_payments,5.0,3.0,1.0,1.0,2.0,5.0,9.37,3.0,648.36,26.21494446365645,37.5727505807942,408.0299865252,545.0015962273385,31.0,30,0,0,0,0,1,0,0,0,0,0,30s,0.0051781320555501385,0.05623312427735412,0.08935448290689191
CUS_0x102e,Scientist,50807.44,4197.95333333333,Standard,Yes,High_spent_Small_value_payments,8.0,4.0,11.0,4.0,12.0,11.0,2.6,4.0,869.59,34.12789314267557,88.7599192474836,149.357016241519,451.67839784433,26.0,23,0,0,0,1,1,0,1,0,0,0,20s,0.02114361742487617,0.03557853181824773,0.20714618075792507
CUS_0x1032,Lawyer,60410.94,5274.245,Standard,Yes,High_spent_Medium_value_payments,4.0,7.0,17.0,4.0,21.75,9.25,8.65,9.0,1852.86,31.479081833233977,149.926387382663,90.00832018830215,500.38112990442846,40.0,16,0,0,0,1,0,0,1,1,0,1,30s,0.02842613253321812,0.0170656312303092,0.3513033619029833
